Recording timestamp	Export date	Recording Fixation filter name	Event	Event value	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	
119694	08/03/2020	Tobii I-VT (Attention)	first		Fixation	620	105	1007	509	
119712	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119732	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119752	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119772	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119792	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119812	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119832	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119852	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119872	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119892	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119912	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119932	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119952	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119972	08/03/2020	Tobii I-VT (Attention)			Fixation	620	105	1007	509	
119992	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	275			
120012	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	275			
120032	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120052	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120072	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120092	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120112	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120132	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120152	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120172	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120192	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120212	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120232	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120252	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120272	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120292	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120312	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120332	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120352	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120372	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120392	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120412	08/03/2020	Tobii I-VT (Attention)			Fixation	400	106	857	356	
120432	08/03/2020	Tobii I-VT (Attention)			Saccade	60	148			
120452	08/03/2020	Tobii I-VT (Attention)			Saccade	60	148			
120472	08/03/2020	Tobii I-VT (Attention)			Saccade	60	148			
120492	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120512	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120532	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120552	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120572	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120592	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120612	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120632	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	160	276			
120652	08/03/2020	Tobii I-VT (Attention)			Saccade	80	149			
120672	08/03/2020	Tobii I-VT (Attention)			Saccade	80	149			
120692	08/03/2020	Tobii I-VT (Attention)			Saccade	80	149			
120712	08/03/2020	Tobii I-VT (Attention)			Saccade	80	149			
120732	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	277			
120752	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	277			
120772	08/03/2020	Tobii I-VT (Attention)			Saccade	40	150			
120792	08/03/2020	Tobii I-VT (Attention)			Saccade	40	150			
120812	08/03/2020	Tobii I-VT (Attention)			Fixation	80	107	1678	11	
120832	08/03/2020	Tobii I-VT (Attention)			Fixation	80	107	1678	11	
120852	08/03/2020	Tobii I-VT (Attention)			Fixation	80	107	1678	11	
120872	08/03/2020	Tobii I-VT (Attention)			Fixation	80	107	1678	11	
120892	08/03/2020	Tobii I-VT (Attention)			Saccade	40	151			
120912	08/03/2020	Tobii I-VT (Attention)			Saccade	40	151			
120932	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	278			
120952	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	40	278			
120972	08/03/2020	Tobii I-VT (Attention)			Unclassified	20	197			
120992	08/03/2020	Tobii I-VT (Attention)			EyesNotFound	20	279			
121007	08/03/2020	Tobii I-VT (Attention)	SyncPortOutHigh		Saccade	40	152			
121012	08/03/2020	Tobii I-VT (Attention)			Saccade	40	152			
121032	08/03/2020	Tobii I-VT (Attention)			Saccade	40	152			
121052	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121072	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121092	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121112	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121132	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121152	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121172	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121192	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121212	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121232	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121252	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121272	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
121292	08/03/2020	Tobii I-VT (Attention)			Fixation	440	108	811	514	
