lat,lon,time
52.22377247,6.88648866,2020-04-27T11:20:54Z
52.22377247,6.88648868,2020-04-27T11:20:55Z
52.22377244,6.88648874,2020-04-27T11:20:56Z
52.22377256,6.88648886,2020-04-27T11:20:57Z
52.22377271,6.88648901,2020-04-27T11:20:58Z
52.22377275,6.88648911,2020-04-27T11:20:59Z
52.22377264,6.88648906,2020-04-27T11:21:00Z
52.22377265,6.88648905,2020-04-27T11:21:01Z
52.22377265,6.88648907,2020-04-27T11:21:02Z
52.22377280,6.88648947,2020-04-27T11:21:03Z
52.22377280,6.88648951,2020-04-27T11:21:04Z
52.22376688,6.88649167,2020-04-27T11:21:05Z
52.22376136,6.88649583,2020-04-27T11:21:06Z
52.22376022,6.88649894,2020-04-27T11:21:07Z
52.22377756,6.88650190,2020-04-27T11:21:08Z
52.22377300,6.88649650,2020-04-27T11:21:09Z
52.22376960,6.88650142,2020-04-27T11:21:10Z
52.22376689,6.88650155,2020-04-27T11:21:11Z
52.22376596,6.88650148,2020-04-27T11:21:12Z
52.22375875,6.88650698,2020-04-27T11:21:13Z
52.22375731,6.88651809,2020-04-27T11:21:14Z
52.22374915,6.88653123,2020-04-27T11:21:15Z
52.22374641,6.88654590,2020-04-27T11:21:16Z
52.22374526,6.88654766,2020-04-27T11:21:17Z
52.22374611,6.88654666,2020-04-27T11:21:18Z
52.22374499,6.88655393,2020-04-27T11:21:19Z
52.22374033,6.88656368,2020-04-27T11:21:20Z
52.22373291,6.88657537,2020-04-27T11:21:21Z
52.22372287,6.88659328,2020-04-27T11:21:22Z
52.22371080,6.88661201,2020-04-27T11:21:23Z
52.22370097,6.88663054,2020-04-27T11:21:24Z
52.22369494,6.88664739,2020-04-27T11:21:25Z
52.22368928,6.88666462,2020-04-27T11:21:26Z
52.22368350,6.88668053,2020-04-27T11:21:27Z
52.22368151,6.88668637,2020-04-27T11:21:28Z
52.22368088,6.88668954,2020-04-27T11:21:29Z
52.22368030,6.88669393,2020-04-27T11:21:30Z
52.22368026,6.88669894,2020-04-27T11:21:31Z
52.22367911,6.88670145,2020-04-27T11:21:32Z
52.22367041,6.88671851,2020-04-27T11:21:33Z
52.22365937,6.88674394,2020-04-27T11:21:34Z
52.22365033,6.88676871,2020-04-27T11:21:35Z
52.22364592,6.88679494,2020-04-27T11:21:36Z
52.22364244,6.88682019,2020-04-27T11:21:37Z
52.22363825,6.88684607,2020-04-27T11:21:38Z
52.22363426,6.88686001,2020-04-27T11:21:39Z
52.22362628,6.88686726,2020-04-27T11:21:40Z
52.22361316,6.88688185,2020-04-27T11:21:41Z
52.22360199,6.88689357,2020-04-27T11:21:42Z
52.22359715,6.88689984,2020-04-27T11:21:43Z
52.22358905,6.88691013,2020-04-27T11:21:44Z
52.22358027,6.88691962,2020-04-27T11:21:45Z
52.22357347,6.88692438,2020-04-27T11:21:46Z
52.22356867,6.88691780,2020-04-27T11:21:47Z
52.22356545,6.88690982,2020-04-27T11:21:48Z
52.22356423,6.88690604,2020-04-27T11:21:49Z
52.22356293,6.88690472,2020-04-27T11:21:50Z
52.22356130,6.88690796,2020-04-27T11:21:51Z
52.22355924,6.88691059,2020-04-27T11:21:52Z
52.22355904,6.88691092,2020-04-27T11:21:53Z
52.22355967,6.88690750,2020-04-27T11:21:54Z
52.22355935,6.88690425,2020-04-27T11:21:55Z
52.22355765,6.88690298,2020-04-27T11:21:56Z
52.22355552,6.88690391,2020-04-27T11:21:57Z
52.22355464,6.88690321,2020-04-27T11:21:58Z
52.22355484,6.88690114,2020-04-27T11:21:59Z
52.22355593,6.88688861,2020-04-27T11:22:00Z
52.22355636,6.88688229,2020-04-27T11:22:01Z
52.22355499,6.88688097,2020-04-27T11:22:02Z
52.22355331,6.88688345,2020-04-27T11:22:03Z
52.22355397,6.88687937,2020-04-27T11:22:04Z
52.22355346,6.88687488,2020-04-27T11:22:05Z
52.22355125,6.88686937,2020-04-27T11:22:06Z
52.22354963,6.88686548,2020-04-27T11:22:07Z
52.22354896,6.88686046,2020-04-27T11:22:08Z
52.22354796,6.88684817,2020-04-27T11:22:09Z
52.22354785,6.88683676,2020-04-27T11:22:10Z
52.22354550,6.88683254,2020-04-27T11:22:11Z
52.22354233,6.88683598,2020-04-27T11:22:12Z
52.22353809,6.88683726,2020-04-27T11:22:13Z
52.22353497,6.88683957,2020-04-27T11:22:14Z
52.22353221,6.88684529,2020-04-27T11:22:15Z
52.22353027,6.88685058,2020-04-27T11:22:16Z
52.22352838,6.88685555,2020-04-27T11:22:17Z
52.22352688,6.88685793,2020-04-27T11:22:18Z
52.22352675,6.88686358,2020-04-27T11:22:19Z
52.22352663,6.88686809,2020-04-27T11:22:20Z
52.22352627,6.88687205,2020-04-27T11:22:21Z
52.22352613,6.88687477,2020-04-27T11:22:22Z
52.22352578,6.88687745,2020-04-27T11:22:23Z
52.22352630,6.88688045,2020-04-27T11:22:24Z
52.22352673,6.88688294,2020-04-27T11:22:25Z
52.22352674,6.88688413,2020-04-27T11:22:26Z
52.22352664,6.88688510,2020-04-27T11:22:27Z
52.22352662,6.88688483,2020-04-27T11:22:28Z
52.22352654,6.88688476,2020-04-27T11:22:29Z
52.22352651,6.88688467,2020-04-27T11:22:30Z
52.22352650,6.88688458,2020-04-27T11:22:31Z
52.22352645,6.88688446,2020-04-27T11:22:32Z
52.22352653,6.88688458,2020-04-27T11:22:33Z
52.22352656,6.88688466,2020-04-27T11:22:34Z
52.22352658,6.88688472,2020-04-27T11:22:35Z
52.22352658,6.88688476,2020-04-27T11:22:36Z
52.22352659,6.88688480,2020-04-27T11:22:37Z
52.22352659,6.88688483,2020-04-27T11:22:38Z
52.22352659,6.88688486,2020-04-27T11:22:39Z
52.22352658,6.88688489,2020-04-27T11:22:40Z
52.22352658,6.88688492,2020-04-27T11:22:41Z
52.22352569,6.88688440,2020-04-27T11:22:42Z
52.22352541,6.88688473,2020-04-27T11:22:43Z
52.22352526,6.88688453,2020-04-27T11:22:44Z
52.22352519,6.88688453,2020-04-27T11:22:45Z
52.22352515,6.88688456,2020-04-27T11:22:46Z
52.22352512,6.88688486,2020-04-27T11:22:47Z
52.22352510,6.88688524,2020-04-27T11:22:48Z
52.22352331,6.88690092,2020-04-27T11:22:49Z
52.22351890,6.88691697,2020-04-27T11:22:50Z
52.22351305,6.88692626,2020-04-27T11:22:51Z
52.22350517,6.88693056,2020-04-27T11:22:52Z
52.22349863,6.88693353,2020-04-27T11:22:53Z
52.22349577,6.88692879,2020-04-27T11:22:54Z
52.22349208,6.88692319,2020-04-27T11:22:55Z
52.22348573,6.88692111,2020-04-27T11:22:56Z
52.22348058,6.88691782,2020-04-27T11:22:57Z
52.22347336,6.88691981,2020-04-27T11:22:58Z
52.22346469,6.88692680,2020-04-27T11:22:59Z
52.22345728,6.88693142,2020-04-27T11:23:00Z
52.22344984,6.88693509,2020-04-27T11:23:01Z
52.22344178,6.88693804,2020-04-27T11:23:02Z
52.22343442,6.88694242,2020-04-27T11:23:03Z
52.22342590,6.88694906,2020-04-27T11:23:04Z
52.22341751,6.88695671,2020-04-27T11:23:05Z
52.22341042,6.88696200,2020-04-27T11:23:06Z
52.22340337,6.88696235,2020-04-27T11:23:07Z
52.22339409,6.88696019,2020-04-27T11:23:08Z
52.22337975,6.88696528,2020-04-27T11:23:09Z
52.22336879,6.88696784,2020-04-27T11:23:10Z
52.22335980,6.88696989,2020-04-27T11:23:11Z
52.22334959,6.88696633,2020-04-27T11:23:12Z
52.22333825,6.88696149,2020-04-27T11:23:13Z
52.22332886,6.88695460,2020-04-27T11:23:14Z
52.22331869,6.88694760,2020-04-27T11:23:15Z
52.22330848,6.88694207,2020-04-27T11:23:16Z
52.22329852,6.88693901,2020-04-27T11:23:17Z
52.22328708,6.88693688,2020-04-27T11:23:18Z
